Soil_Type,Fertility_Index,Location,Season,Average_Rainfall(mm),Temperature(°C),Land_Use_Type,Market_Price,Soil_pH,Sunlight_Exposure(hours),Irrigation_Availability,Pest_and_Disease_History,Previous_Crop
Clay,98,Rajshahi,Winter,200.36,38.31,Barren,24,8.08,7.47,No,None,Tea
Sandy,40,Chattogram,Winter,309.22,28.08,Agricultural,139,8.18,10.56,Yes,Low,Tea
Loamy,97,Sylhet,Winter,352.04,21.79,Unused,296,4.88,11.24,Yes,None,Vegetables
Silt,99,Rajshahi,Autumn,236.16,24.98,Residential,37,6.68,4.96,No,Moderate,Rice
Peaty,77,Barishal,Summer,326.3,29.96,Barren,450,7.46,8.26,No,None,None
Sandy,54,Dhaka,Summer,153.88,31.32,Residential,217,7.53,6.28,Yes,High,Vegetables
Sandy,73,Chattogram,Monsoon,239.48,18.85,Agricultural,76,6.93,4.38,Yes,High,Vegetables
Clay,100,Dhaka,Summer,170.83,39.43,Agricultural,112,5.17,9.35,Yes,High,Tea
Clay,74,Khulna,Summer,194.97,28.62,Unused,38,7.69,10.9,No,None,Wheat
Silt,88,Chattogram,Winter,306.34,18.39,Agricultural,403,7.38,5.3,Yes,High,Maize
Silt,64,Rangpur,Winter,358.58,37.34,Agricultural,372,4.84,10.5,No,High,None
Loamy,63,Rajshahi,Autumn,92.52,16.87,Residential,212,6.36,10.83,Yes,Moderate,Vegetables
Loamy,51,Rangpur,Winter,272.12,37.69,Agricultural,256,5.2,11.31,No,Moderate,None
Silt,57,Khulna,Winter,253.75,39.91,Agricultural,406,5.85,6.12,No,Low,Vegetables
Silt,54,Dhaka,Winter,91.45,32.51,Barren,445,4.57,11.23,No,Low,Rice
Peaty,83,Chattogram,Winter,124.16,34.26,Agricultural,296,6.1,6.57,No,Low,None
Clay,55,Rangpur,Autumn,158.85,23.43,Barren,246,6.7,8.42,Yes,None,Rice
Loamy,66,Rangpur,Winter,108.43,38.54,Agricultural,252,6.98,4.4,No,Low,Tea
Clay,47,Dhaka,Monsoon,135.31,28.24,Agricultural,59,7.15,4.35,No,None,Rice
Clay,99,Chattogram,Monsoon,143.66,33.31,Unused,342,7.85,9.76,No,None,None
Silt,85,Rajshahi,Monsoon,167.49,38.1,Unused,172,5.36,7.56,Yes,Low,Jute
Peaty,64,Dhaka,Monsoon,312.29,39.38,Barren,146,4.98,6.05,Yes,Low,None
Sandy,56,Rangpur,Winter,250.17,35.83,Agricultural,256,7.91,5.52,Yes,None,Vegetables
Peaty,68,Rajshahi,Monsoon,395.19,22.58,Residential,74,5.13,9.36,Yes,Moderate,Rice
Peaty,92,Rajshahi,Winter,195.16,39.16,Unused,487,8.4,4.0,Yes,High,Wheat
Clay,47,Dhaka,Autumn,313.85,30.7,Residential,455,7.87,10.45,Yes,High,Jute
Peaty,54,Rangpur,Monsoon,355.01,38.27,Unused,191,6.5,4.63,No,High,Tea
Loamy,66,Khulna,Summer,287.64,31.9,Unused,128,8.43,5.53,No,Moderate,Maize
Clay,85,Rangpur,Monsoon,194.15,22.68,Agricultural,373,4.89,7.09,No,None,Vegetables
Loamy,89,Sylhet,Monsoon,313.76,24.25,Unused,488,5.71,7.88,Yes,Low,Vegetables
Sandy,91,Chattogram,Winter,121.28,28.76,Residential,203,7.05,6.84,No,None,Wheat
Clay,46,Barishal,Monsoon,164.64,34.75,Unused,458,5.9,6.57,No,None,Maize
Sandy,42,Khulna,Summer,241.34,22.95,Barren,387,8.21,11.71,Yes,Low,Maize
Clay,68,Rajshahi,Winter,251.39,29.49,Agricultural,490,4.76,9.13,No,Moderate,Tea
Silt,83,Khulna,Winter,57.75,23.64,Agricultural,217,6.7,4.19,Yes,High,Tea
Peaty,92,Chattogram,Autumn,380.79,35.39,Barren,390,6.86,7.44,No,High,Jute
Silt,63,Rajshahi,Autumn,293.82,26.67,Barren,392,7.11,11.0,Yes,None,Vegetables
Sandy,99,Chattogram,Monsoon,223.5,16.92,Barren,480,5.52,6.41,Yes,Moderate,Rice
Peaty,97,Rajshahi,Autumn,376.59,19.15,Unused,106,5.96,4.76,Yes,High,Tea
Clay,42,Khulna,Autumn,203.68,16.53,Agricultural,220,7.87,10.07,No,Moderate,Wheat
Peaty,59,Rajshahi,Autumn,393.15,27.48,Barren,356,5.28,8.85,No,Low,Wheat
Loamy,85,Rajshahi,Winter,229.3,17.66,Unused,341,7.81,8.56,Yes,None,Wheat
Peaty,54,Sylhet,Winter,90.0,17.85,Barren,294,6.75,4.43,Yes,None,None
Loamy,64,Rangpur,Winter,317.68,38.53,Residential,230,7.55,5.12,No,Moderate,Tea
Peaty,69,Rangpur,Autumn,287.61,36.82,Residential,410,7.35,8.98,No,High,Tea
Loamy,53,Barishal,Winter,320.55,26.3,Agricultural,137,5.33,5.66,Yes,Moderate,Wheat
Sandy,46,Barishal,Autumn,383.0,39.65,Unused,210,6.78,8.03,No,Low,Tea
Silt,56,Sylhet,Winter,321.77,15.0,Residential,61,7.97,8.36,No,High,None
Clay,83,Barishal,Winter,263.97,30.35,Residential,61,6.23,6.27,No,High,Rice
Peaty,59,Chattogram,Summer,350.06,30.41,Unused,334,8.37,11.59,Yes,Moderate,Rice
Silt,75,Khulna,Monsoon,285.64,26.44,Barren,295,6.31,10.74,Yes,Low,Jute
Clay,48,Dhaka,Autumn,192.84,24.92,Unused,348,5.07,9.78,No,High,Vegetables
Clay,77,Chattogram,Summer,359.97,26.38,Barren,36,6.06,4.62,Yes,None,Rice
Loamy,87,Dhaka,Winter,127.67,25.37,Residential,302,8.31,4.85,No,Low,Jute
Sandy,96,Dhaka,Autumn,300.12,33.26,Residential,450,5.78,7.94,No,High,Maize
Sandy,99,Sylhet,Winter,358.55,18.38,Residential,277,7.97,5.29,Yes,Moderate,Vegetables
Silt,61,Chattogram,Monsoon,305.96,19.94,Agricultural,82,8.03,11.83,Yes,High,Rice
Sandy,93,Sylhet,Summer,294.05,19.51,Agricultural,81,5.9,5.27,Yes,None,None
Peaty,92,Rajshahi,Monsoon,313.42,21.56,Agricultural,119,4.83,7.9,No,Low,Maize
Sandy,92,Dhaka,Summer,212.77,28.13,Unused,38,7.4,6.91,No,High,Jute
Silt,41,Khulna,Winter,355.96,17.78,Residential,36,5.75,9.12,Yes,None,Rice
Sandy,63,Barishal,Monsoon,121.2,36.7,Residential,344,7.63,5.03,Yes,High,Rice
Peaty,47,Khulna,Monsoon,94.59,22.43,Unused,442,6.27,7.44,Yes,High,Tea
Loamy,50,Barishal,Winter,149.93,19.06,Agricultural,485,6.44,6.2,No,Low,Maize
Silt,52,Dhaka,Monsoon,236.05,31.89,Unused,392,7.61,11.1,No,Moderate,Rice
Loamy,56,Dhaka,Autumn,228.7,15.95,Agricultural,265,6.03,4.32,No,Moderate,Wheat
Loamy,47,Dhaka,Summer,337.21,30.5,Residential,270,6.27,11.31,Yes,None,None
Loamy,60,Sylhet,Summer,191.6,32.45,Barren,474,6.0,10.66,Yes,None,Tea
Clay,57,Chattogram,Summer,219.52,20.37,Agricultural,100,5.97,6.38,No,None,Tea
Clay,69,Barishal,Autumn,54.68,16.05,Residential,58,6.6,10.31,Yes,Low,Rice
Loamy,57,Chattogram,Summer,193.41,24.09,Residential,55,7.74,4.25,Yes,Moderate,None
Silt,85,Sylhet,Winter,276.72,17.46,Barren,443,5.95,11.73,Yes,None,Tea
Peaty,86,Sylhet,Monsoon,55.43,17.91,Residential,448,6.6,8.21,Yes,None,Vegetables
Peaty,70,Rangpur,Autumn,148.31,21.36,Residential,407,7.18,6.43,No,High,Maize
Sandy,77,Khulna,Summer,122.78,22.39,Agricultural,428,5.58,6.9,Yes,High,Vegetables
Silt,71,Khulna,Winter,64.69,28.25,Agricultural,216,5.61,4.53,No,None,Jute
Clay,50,Rajshahi,Monsoon,217.74,31.96,Barren,177,8.23,11.91,No,High,Vegetables
Loamy,84,Sylhet,Monsoon,113.6,29.82,Barren,223,7.39,4.31,Yes,High,None
Sandy,64,Barishal,Autumn,310.08,18.71,Residential,215,6.81,9.24,No,High,Wheat
Peaty,72,Rangpur,Autumn,346.77,19.3,Agricultural,235,7.09,7.54,No,Low,Tea
Clay,99,Rangpur,Autumn,240.95,36.97,Barren,304,4.62,11.59,Yes,None,None
Clay,77,Chattogram,Winter,393.6,28.96,Barren,476,6.97,5.97,No,None,Tea
Loamy,80,Khulna,Winter,207.67,36.75,Unused,215,6.54,8.26,No,High,Wheat
Peaty,47,Sylhet,Autumn,229.68,24.29,Barren,326,6.68,7.86,No,Low,Tea
Silt,50,Rajshahi,Summer,396.23,30.36,Residential,171,5.94,9.62,No,High,Vegetables
Clay,61,Sylhet,Monsoon,131.04,28.09,Agricultural,33,4.83,4.54,No,Low,Jute
Loamy,90,Chattogram,Monsoon,379.89,22.98,Barren,344,5.27,5.55,No,None,Rice
Silt,63,Dhaka,Winter,64.99,26.75,Unused,165,8.3,5.72,No,High,Wheat
Peaty,80,Sylhet,Monsoon,206.24,27.56,Agricultural,445,6.13,9.91,No,None,Vegetables
Clay,56,Chattogram,Summer,74.5,20.02,Barren,76,6.37,5.51,Yes,Low,None
Silt,51,Dhaka,Monsoon,305.23,22.88,Unused,230,4.71,8.59,Yes,Moderate,Vegetables
Silt,96,Dhaka,Winter,262.94,34.79,Barren,287,4.65,5.72,Yes,Low,Vegetables
Silt,85,Rajshahi,Winter,297.32,37.89,Agricultural,229,7.37,10.89,No,Moderate,Rice
Clay,71,Barishal,Summer,181.07,23.99,Agricultural,36,6.65,11.54,No,None,Maize
Clay,54,Khulna,Summer,179.32,22.67,Agricultural,305,6.53,8.15,No,None,Tea
Sandy,55,Sylhet,Monsoon,65.86,19.88,Residential,363,5.47,6.82,Yes,High,Tea
Peaty,93,Dhaka,Monsoon,172.48,31.96,Barren,222,7.48,5.87,Yes,Moderate,None
Loamy,61,Sylhet,Winter,375.25,23.08,Residential,118,5.17,4.4,Yes,Low,Jute
Silt,67,Barishal,Summer,182.73,39.69,Agricultural,298,5.26,6.15,No,None,None
Sandy,59,Khulna,Summer,340.98,23.14,Unused,228,6.34,9.23,Yes,Moderate,Maize
Loamy,72,Barishal,Summer,344.81,24.85,Barren,148,5.65,8.27,Yes,Low,Tea
Sandy,49,Khulna,Monsoon,180.63,30.08,Residential,354,5.49,11.55,No,Moderate,Jute
Clay,79,Rangpur,Summer,271.2,35.04,Barren,307,7.08,7.17,Yes,Low,None
Silt,71,Khulna,Winter,83.38,26.74,Unused,271,7.1,9.55,No,Low,Jute
Loamy,89,Rajshahi,Winter,86.29,25.57,Residential,284,7.8,7.91,Yes,Low,Vegetables
Loamy,99,Barishal,Monsoon,67.03,39.89,Agricultural,290,6.17,8.1,No,Low,Wheat
Loamy,72,Dhaka,Autumn,253.36,15.26,Residential,431,4.79,6.14,No,Moderate,Vegetables
Loamy,41,Rangpur,Monsoon,199.12,37.38,Barren,427,5.59,7.64,No,Moderate,Rice
Loamy,72,Rajshahi,Autumn,241.81,18.73,Barren,207,8.42,7.77,No,High,Tea
Sandy,72,Sylhet,Summer,232.38,34.65,Barren,438,6.89,9.65,No,Moderate,Jute
Silt,80,Barishal,Monsoon,172.57,30.45,Barren,233,7.34,11.53,Yes,Moderate,None
Clay,52,Chattogram,Winter,287.12,23.55,Agricultural,302,4.53,6.63,No,High,Wheat
Clay,69,Chattogram,Summer,315.48,36.85,Residential,230,6.57,4.34,No,Moderate,None
Clay,72,Dhaka,Winter,55.12,15.32,Agricultural,384,4.65,7.97,No,Low,Tea
Clay,52,Khulna,Summer,122.53,20.67,Agricultural,95,6.78,8.36,No,None,Jute
Sandy,91,Dhaka,Monsoon,299.63,29.17,Agricultural,167,8.18,5.35,Yes,None,Jute
Peaty,65,Chattogram,Autumn,185.32,23.79,Barren,340,8.37,10.08,No,High,Vegetables
Silt,61,Sylhet,Summer,281.87,30.26,Barren,232,6.66,11.88,Yes,Moderate,Wheat
Loamy,78,Rangpur,Autumn,171.44,15.6,Barren,452,6.33,11.57,No,Moderate,Wheat
Peaty,41,Rangpur,Summer,186.76,17.91,Residential,128,8.28,5.58,No,High,Tea
Clay,77,Barishal,Winter,105.54,18.18,Unused,148,7.19,11.0,Yes,None,Jute
Peaty,78,Rangpur,Winter,140.38,19.73,Barren,29,4.76,9.64,Yes,Low,Wheat
Silt,65,Barishal,Summer,261.89,26.48,Residential,66,6.36,7.63,Yes,Moderate,Wheat
Loamy,85,Barishal,Autumn,201.61,33.8,Barren,398,5.46,8.32,No,High,None
Loamy,97,Barishal,Monsoon,321.01,37.64,Barren,334,6.38,10.8,Yes,Low,Tea
Silt,89,Chattogram,Monsoon,348.4,35.88,Agricultural,115,6.32,7.84,No,High,Vegetables
Silt,54,Chattogram,Winter,239.58,19.92,Agricultural,465,6.83,6.99,Yes,High,None
Clay,73,Khulna,Monsoon,315.39,26.03,Agricultural,122,5.93,7.95,Yes,High,None
Loamy,81,Rajshahi,Winter,157.42,19.99,Residential,399,5.16,8.63,No,None,Maize
Peaty,94,Barishal,Monsoon,195.24,21.61,Unused,361,6.51,5.51,Yes,None,Rice
Sandy,83,Barishal,Summer,299.47,27.59,Unused,165,7.82,11.21,Yes,High,Maize
Sandy,88,Rajshahi,Winter,185.17,16.7,Residential,387,7.16,9.39,No,Moderate,Wheat
Silt,79,Dhaka,Winter,255.98,20.45,Barren,449,5.85,9.07,No,Low,Jute
Clay,50,Barishal,Summer,114.88,38.38,Residential,435,8.24,4.8,No,Moderate,Rice
Sandy,100,Khulna,Winter,259.92,26.65,Barren,46,8.15,8.83,Yes,None,Rice
Loamy,42,Rangpur,Monsoon,351.53,26.13,Residential,239,5.34,4.97,Yes,Low,Jute
Silt,98,Rangpur,Monsoon,354.02,15.36,Residential,37,4.66,4.63,Yes,High,Rice
Peaty,45,Sylhet,Winter,303.52,21.18,Residential,186,7.47,8.22,Yes,Moderate,Jute
Silt,48,Sylhet,Monsoon,311.01,36.66,Unused,452,7.81,7.22,Yes,Moderate,Rice
Peaty,45,Rangpur,Autumn,245.27,19.12,Agricultural,496,8.37,8.71,No,High,None
Silt,48,Rangpur,Winter,254.63,25.38,Residential,101,8.06,4.71,Yes,Moderate,Tea
Silt,78,Chattogram,Summer,96.78,15.36,Unused,447,6.9,7.45,No,None,Tea
Silt,70,Khulna,Autumn,205.35,26.96,Agricultural,91,6.62,5.4,Yes,High,Maize
Peaty,71,Rajshahi,Winter,207.77,15.53,Agricultural,329,4.61,11.9,No,Moderate,None
Peaty,80,Sylhet,Summer,385.47,35.49,Residential,498,5.49,8.49,Yes,High,Rice
Silt,89,Chattogram,Monsoon,200.88,35.62,Barren,273,6.34,9.5,Yes,Low,Vegetables
Sandy,51,Chattogram,Summer,242.27,34.69,Barren,181,7.01,6.6,No,High,Jute
Clay,47,Rajshahi,Autumn,236.64,22.08,Barren,346,6.73,4.76,Yes,Moderate,None
Clay,47,Chattogram,Monsoon,272.87,35.93,Residential,439,7.47,11.81,No,None,Rice
Clay,89,Khulna,Winter,311.88,28.57,Barren,421,5.62,6.29,Yes,High,Tea
Peaty,67,Rangpur,Monsoon,128.76,24.35,Unused,57,6.76,7.39,Yes,High,Tea
Peaty,59,Barishal,Winter,235.05,30.63,Unused,462,4.85,9.2,No,Moderate,Jute
Sandy,86,Rajshahi,Winter,339.07,15.31,Unused,412,6.15,4.2,Yes,None,Vegetables
Clay,98,Rangpur,Summer,212.09,18.57,Unused,220,7.5,10.48,No,None,Rice
Clay,46,Rangpur,Summer,147.46,33.56,Agricultural,219,7.27,8.29,Yes,Low,Rice
Silt,50,Dhaka,Summer,279.15,21.1,Unused,274,8.46,6.23,Yes,Low,Vegetables
Peaty,59,Rajshahi,Autumn,338.32,29.95,Barren,198,5.61,4.49,Yes,Moderate,Vegetables
Clay,55,Chattogram,Autumn,72.1,24.63,Residential,54,6.49,5.3,Yes,None,Vegetables
Sandy,43,Barishal,Summer,321.88,36.37,Barren,101,5.82,11.16,Yes,None,Tea
Sandy,45,Rajshahi,Autumn,337.58,38.81,Unused,408,6.26,9.49,Yes,Low,Jute
Clay,97,Chattogram,Monsoon,211.53,37.09,Agricultural,417,7.93,6.0,Yes,Low,None
Peaty,61,Rangpur,Monsoon,394.16,21.77,Unused,239,7.24,4.52,No,Moderate,Vegetables
Sandy,65,Barishal,Autumn,325.35,19.85,Residential,177,8.03,9.52,Yes,None,Jute
Silt,42,Chattogram,Autumn,320.78,26.86,Barren,23,5.31,8.58,Yes,High,Maize
Sandy,80,Khulna,Monsoon,311.74,15.18,Residential,186,7.99,7.24,Yes,Low,Rice
Loamy,99,Chattogram,Winter,102.71,15.65,Residential,487,4.74,6.91,No,Moderate,Rice
Loamy,81,Dhaka,Monsoon,126.03,28.83,Residential,467,8.05,5.73,No,None,Wheat
Peaty,53,Rangpur,Monsoon,212.4,28.01,Barren,428,5.82,9.36,Yes,None,Maize
Clay,50,Chattogram,Autumn,142.4,39.86,Unused,431,5.76,11.77,Yes,Low,None
